id;source;source_id;target;target_id;design;offdesign;design_path;local_design;local_offdesign;label;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;Air;Air0;Air_set;Isobutane;Isobutane0;Isobutane_set;water;water0;water_set;balance
0x7efc45c0dac8;cycle closer before preheater;out1;preheater;in2;[];[];nan;False;False;cycle closer before preheater:out1_preheater:in2;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;22.48467466546725;bar;False;22.48467466546725;False;nan;nan;nan;False;284.31779777204446;kJ / kg;False;284.31779777204446;False;nan;nan;nan;False;34.924223640551816;C;False;34.924223640551816;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.05800031639887971;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc45c0dda0;preheater;out2;orc_evaporator;in2;[];[];nan;False;False;preheater:out2_orc_evaporator:in2;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;21.36044093219389;bar;False;21.36044093219389;False;nan;nan;nan;False;658.8860620243689;kJ / kg;False;658.8860620243689;False;nan;nan;nan;False;103.93823302894322;C;False;103.93823302894322;False;nan;nan;nan;False;0.8952705622269577;-;False;nan;False;nan;nan;nan;False;0.45982194546559235;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc4018f9e8;orc_evaporator;out2;turbine;in1;[];[];nan;False;False;orc_evaporator:out2_turbine:in1;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;19.865210066940318;bar;False;19.865210066940318;True;nan;nan;nan;False;688.4670939177445;kJ / kg;False;688.4670939177445;False;nan;nan;nan;False;104.00000000000642;C;False;104.00000000000642;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.5787997116146336;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;g;True;0;0;True;1;1;True;0;0;True;False
0x7efc4018fbe0;turbine;out1;internal heat exchanger;in1;[];[];nan;False;False;turbine:out1_internal heat exchanger:in1;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;3.9730420133880626;bar;False;3.9730420133880626;False;nan;nan;nan;False;633.2043697421498;kJ / kg;False;633.2043697421498;False;nan;nan;nan;False;50.62422364054993;C;False;50.62422364054993;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.3571742617229345;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc3dd30be0;internal heat exchanger;out1;condenser;in1;[];[];nan;False;False;internal heat exchanger:out1_condenser:in1;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;3.373337555463549;bar;False;3.373337555463549;False;nan;nan;nan;False;604.5181856656096;kJ / kg;False;604.5181856656096;False;nan;nan;nan;False;33.90087199728674;C;False;33.90087199728674;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;3.7458582155772544;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc3dd30860;condenser;out1;feeding pump;in1;[];[];nan;False;False;condenser:out1_feeding pump:in1;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;3.204670677690371;bar;False;3.204670677690371;False;nan;nan;nan;False;251.57894945053033;kJ / kg;False;251.57894945053033;False;nan;nan;nan;False;21.94931709342643;C;False;21.94931709342643;False;nan;nan;nan;False;0.0;-;False;nan;False;nan;nan;nan;False;0.05671605036981217;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc3dd30a58;feeding pump;out1;internal heat exchanger;in2;[];[];nan;False;False;feeding pump:out1_internal heat exchanger:in2;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;23.479571790350295;bar;False;23.479571790350295;False;nan;nan;nan;False;255.63161369550437;kJ / kg;False;255.63161369550437;False;nan;nan;nan;False;23.114106057417246;C;False;23.114106057417246;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.05644993668729536;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc3dbb50b8;internal heat exchanger;out2;cycle closer before preheater;in1;[];[];nan;False;False;internal heat exchanger:out2_cycle closer before preheater:in1;31.44641743378542;kg / s;False;31.44641743378542;False;nan;nan;nan;False;22.48467466546725;bar;False;22.48467466546725;False;nan;nan;nan;False;284.3177977720444;kJ / kg;False;284.3177977720444;False;nan;nan;nan;False;34.924223640551816;C;False;34.924223640551816;False;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.05800031639887971;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;0;0;False;False
0x7efc3dd17cc0;brine source;out1;orc_evaporator;in1;[];[];nan;False;False;brine source:out1_orc_evaporator:in1;55.0;kg / s;False;55.0;True;nan;nan;nan;False;1.4337871294487443;bar;False;1.4337871294487443;True;nan;nan;nan;False;461.4152698183064;kJ / kg;False;461.4152698183064;False;nan;nan;nan;False;109.99999999916167;C;False;109.99999999916167;True;nan;nan;nan;False;3.60090873080614e-08;-;False;nan;False;nan;nan;nan;False;0.057839414285829914;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;l;True;0;0;True;0;0;True;1;1;True;False
0x7efc3db92e80;orc_evaporator;out1;preheater;in1;[];[];nan;False;False;orc_evaporator:out1_preheater:in1;55.0;kg / s;False;55.0;False;nan;nan;nan;False;1.2904084165038698;bar;False;1.2904084165038698;False;nan;nan;nan;False;444.5022247811935;kJ / kg;False;444.5022247811935;False;nan;nan;nan;False;106.00000000000284;C;False;106.00000000000284;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.05765417899747461;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x7efc3db92908;preheater;out1;brine sink;in1;[];[];nan;False;False;preheater:out1_brine sink:in1;55.0;kg / s;False;55.0;False;nan;nan;nan;False;1.1613675748534829;bar;False;1.1613675748534829;False;nan;nan;nan;False;230.34167941524726;kJ / kg;False;230.34167941524726;False;nan;nan;nan;False;54.99999999999301;C;False;54.99999999999301;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;0.05579793541760567;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;0;0;False;1;1;False;False
0x7efc3dbb5e80;cooling air source;out1;condenser;in2;[];[];nan;False;False;cooling air source:out1_condenser:in2;2206.688441172558;kg / s;False;2206.688441172558;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;409.34827089987016;kJ / kg;False;409.34827089987016;False;nan;nan;nan;False;9.999999999999886;C;False;9.999999999999886;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1792.6998989601118;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;0;0;True;False
0x7efc3dc4f4e0;condenser;out2;cooling air sink;in1;[];[];nan;False;False;condenser:out2_cooling air sink:in1;2206.688441172558;kg / s;False;2206.688441172558;False;nan;nan;nan;False;1.0;bar;False;1.0;False;nan;nan;nan;False;414.3778320937845;kJ / kg;False;414.3778320937845;False;nan;nan;nan;False;14.999999999999488;C;False;14.999999999999488;True;nan;nan;nan;False;-1.0;-;False;nan;False;nan;nan;nan;False;1824.453908220265;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;0;0;False;False
